flight_status,flight,datetime_estimated,airport_of_departure,comments,airport_of_arrival,terminal,airline,datetime_actual,datetime_scheduled
[],[u'\u042e\u0422344'],[u'\xa013.03'],[u'\u041a\u0410\u0417\u0410\u041d\u042c\n()\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u0413\u0413724'],[u'\xa013.03'],[u'\u0413\u0420\u041e\u0417\u041d\u042b\u0419'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0413\u0420\u041e\u0417\u041d\u042b\u0419 \u0410\u0412\u0418\u0410'],[u'\xa013.03'],[u'\xa013.03']
[],[u'XF459'],[u'\xa013.03'],[u'\u0412\u041b\u0410\u0414\u0418\u0412\u041e\u0421\u0422\u041e\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0410'],[u'\u0412\u041b\u0410\u0414\u0418\u0412\u041e\u0421\u0422\u041e\u041a \u0410\u0412\u0418\u0410'],[u'\xa013.03'],[u'\xa013.03']
[],[u'WZ9618'],[u'\xa013.03'],[u'\u0410\u041d\u0422\u0410\u041b\u042c\u042f'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u0420\u0415\u0414 \u0412\u0418\u041d\u0413\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'XF448'],[u'\xa013.03'],[u'\u0425\u0410\u0411\u0410\u0420\u041e\u0412\u0421\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0410'],[u'\u0412\u041b\u0410\u0414\u0418\u0412\u041e\u0421\u0422\u041e\u041a \u0410\u0412\u0418\u0410'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422486'],[u'\xa013.03'],[u'\u0421\u0410\u041c\u0410\u0420\u0410\n(\u041a\u0423\u0420\u0423\u041c\u041e\u0427)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u04209508'],[u'\xa013.03'],[u'\u041c\u0423\u0420\u041c\u0410\u041d\u0421\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420-\u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042d\u04254252'],[u'\xa013.03'],[u'\u041a\u0420\u0410\u0421\u041d\u041e\u0414\u0410\u0420\n(\u041f\u0410\u0428\u041a\u041e\u0412\u0421\u041a\u0410\u042f)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u041a178'],[u'\xa013.03'],[u'\u0412\u041b\u0410\u0414\u0418\u041a\u0410\u0412\u041a\u0410\u0417'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0410\u0412\u0418\u0410\u0426\u0418\u041e\u041d\u041d\u042b\u0415 \u041b\u0418\u041d\u0418\u0418 \u041a\u0423\u0411\u0410\u041d\u0418'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042d\u0425178'],[u'\xa013.03'],[u'\u0412\u041b\u0410\u0414\u0418\u041a\u0410\u0412\u041a\u0410\u0417'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u041a4178'],[u'\xa013.03'],[u'\u0412\u041b\u0410\u0414\u0418\u041a\u0410\u0412\u041a\u0410\u0417'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0410\u0412\u0418\u0410\u0426\u0418\u041e\u041d\u041d\u042b\u0415 \u041b\u0418\u041d\u0418\u0418 \u041a\u0423\u0411\u0410\u041d\u0418'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u041a133'],[u'\xa013.03'],[u'\u041a\u0420\u0410\u0421\u041d\u041e\u0414\u0410\u0420\n(\u041f\u0410\u0428\u041a\u041e\u0412\u0421\u041a\u0410\u042f)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0410\u0412\u0418\u0410\u0426\u0418\u041e\u041d\u041d\u042b\u0415 \u041b\u0418\u041d\u0418\u0418 \u041a\u0423\u0411\u0410\u041d\u0418'],[u'\xa013.03'],[u'\xa013.03']
[],[u'4U994'],[u'\xa013.03'],[u'\u041a\u0415\u041b\u042c\u041d\n(\u0411\u041e\u041d\u041d)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u0414\u0416\u0415\u0420\u041c\u0410\u041d\u0412\u0418\u041d\u0413\u0417'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u0422198'],[u'\xa013.03'],[u'\u0412\u041e\u0420\u041e\u041d\u0415\u0416\n(\u0427\u0415\u0420\u0422\u041e\u0412\u0418\u0426\u041a\u041e\u0415)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u041a\u0421\u041c9610'],[u'\xa013.03'],[u'\u041d\u0410\u0417\u0420\u0410\u041d\u042c'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u041a\u041e\u0421\u041c\u041e\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'H59102'],[u'\xa013.03'],[u'\u0410\u041d\u0422\u0410\u041b\u042c\u042f'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u0410\u0419 \u0424\u041b\u0410\u0419'],[u' - '],[u'\xa013.03']
[],[u'U8512'],[u'\xa013.03'],[u'\u0415\u0420\u0415\u0412\u0410\u041d\n(\u0417\u0412\u0410\u0420\u0422\u041d\u041e\u0426)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u0410\u0420\u041c\u0410\u0412\u0418\u0410'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422368'],[u' - '],[u'\u0420\u041e\u0421\u0422\u041e\u0412-\u041d\u0410-\u0414\u041e\u041d\u0423'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u0420398'],[u'\xa013.03'],[u'\u0413\u0415\u041b\u0415\u041d\u0414\u0416\u0418\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420-\u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042d\u0425110'],[u'\xa013.03'],[u'\u0421-\u041f\u0415\u0422\u0415\u0420\u0411\u0423\u0420\u0413\n(\u041f\u0423\u041b\u041a\u041e\u0412\u041e)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u0422378'],[u' - '],[u'\u0410\u0421\u0422\u0420\u0410\u0425\u0410\u041d\u042c'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042d\u0425146'],[u'\xa013.03'],[u'\u041a\u0410\u041b\u0418\u041d\u0418\u041d\u0413\u0420\u0410\u0414'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'UT772'],[u'\xa013.03'],[u'\u0414\u041e\u041d\u0415\u0426\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422386'],[u' - '],[u'\u0412\u041e\u041b\u0413\u041e\u0413\u0420\u0410\u0414'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u04209286'],[u' - '],[u'\u0412\u041e\u041b\u0413\u041e\u0413\u0420\u0410\u0414'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420-\u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u0422448'],[u'\xa013.03'],[u'\u0410\u0420\u0425\u0410\u041d\u0413\u0415\u041b\u042c\u0421\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u041c\u04181220'],[u' - '],[u'\u041c\u0418\u041d.\u0412\u041e\u0414\u042b'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0410'],[u'\u041a\u0410\u0412\u041c\u0418\u041d\u0412\u041e\u0414\u042b\u0410\u0412\u0418\u0410'],[u'\xa013.03'],[u'\xa013.03']
[],[u'UT710'],[u' - '],[u'\u041b\u0423\u0413\u0410\u041d\u0421\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u042e\u0422\u042d\u0419\u0420'],[u'\xa013.03'],[u'\xa013.03']
[],[u'QU101'],[u' - '],[u'\u041b\u0423\u0413\u0410\u041d\u0421\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'UTAIR - UKRAINE'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042e\u0422568'],[u'\xa013.03'],[u'\u041f\u0415\u0420\u041c\u042c\n(\u0411\u041e\u041b\u042c\u0428\u041e\u0415 \u0421\u0410\u0412\u0418\u041d\u041e)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u'\xa013.03'],[u'\xa013.03']
[],[u'\u042d\u0425230'],[u' - '],[u'\u0421\u041e\u0427\u0418'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
[],[u'\u042d\u0425196'],[u' - '],[u'\u0423\u0424\u0410'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u041a9196'],[u' - '],[u'\u0423\u0424\u0410'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0410\u0412\u0418\u0410\u0426\u0418\u041e\u041d\u041d\u042b\u0415 \u041b\u0418\u041d\u0418\u0418 \u041a\u0423\u0411\u0410\u041d\u0418'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422370'],[u'\xa013.03'],[u'\u0421-\u041f\u0415\u0422\u0415\u0420\u0411\u0423\u0420\u0413\n(\u041f\u0423\u041b\u041a\u041e\u0412\u041e)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422250'],[u' - '],[u'\u0421\u041e\u0427\u0418'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u0413\u0417\u041f996'],[u'\xa013.03'],[u'\u0421\u041e\u0412\u0415\u0422\u0421\u041a\u0418\u0419'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0410'],[u'\u0413\u0410\u0417\u041f\u0420\u041e\u041c\u0410\u0412\u0418\u0410'],[u' - '],[u'\xa013.03']
[],[u'UT794'],[u' - '],[u'\u041b\u042c\u0412\u041e\u0412'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u04224996'],[u'\xa013.03'],[u'\u0421\u041e\u0412\u0415\u0422\u0421\u041a\u0418\u0419'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0410'],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
